leto,station_id,tip,Longitude,Latitude,Altitude,n_dni
2006,1612,1.0,14.68364944882471,46.264193852556446,887.0,365
2006,1613,1.0,14.58571082166106,46.32923880012097,615.0,335
2006,1614,3.0,14.533314377372152,46.297349481747936,1742.0,365
2006,1622,1.0,14.185041199366305,46.12033991323873,385.0,365
2006,1624,1.0,14.119811249828237,46.04813704355168,498.0,365
2006,1625,1.0,14.069171925176663,46.197357649622894,987.0,365
2006,1626,1.0,14.028055258865052,46.22188512308445,839.0,365
2006,1627,1.0,14.157601731754628,46.21445339540449,476.0,365
2006,1628,1.0,14.176813183348957,46.25334487658803,857.0,365
2006,1635,1.0,14.127395725151771,46.39993164361118,543.0,365
2006,1636,1.0,14.10117591250559,46.45716659816481,939.0,365
2006,1637,1.0,13.942700944605352,46.42822876747218,755.0,365
2006,1639,1.0,13.950147597227602,46.27303158826264,507.0,365
2006,1641,1.0,13.789085293364463,46.48646671129202,802.0,365
2006,1642,1.0,13.602126917359502,46.40454149187309,648.0,365
2006,1644,1.0,13.666113991005956,46.342107990078354,485.0,365
2006,1648,1.0,13.583079180005651,46.24415445256993,240.0,365
2006,1649,1.0,13.824743967925246,46.21533637318197,739.0,365
2006,1650,1.0,13.889189191227752,46.204939801014405,695.0,365
2006,1651,1.0,13.970699153562707,46.21262950385043,503.0,365
2006,1652,1.0,13.906249979613058,46.14831163267012,706.0,365
2006,1653,1.0,13.9113368037383,46.06278359085161,1060.0,365
2006,1654,2.0,13.902072455023472,46.025381526932215,1065.0,365
2006,1655,1.0,13.879590695773116,46.00969652392407,907.0,365
2006,1656,1.0,14.044105901267963,45.925384966818335,688.0,365
2006,1657,1.0,13.924096937960645,45.9171666614962,826.0,365
2006,1659,1.0,13.79400621213694,46.01012247169562,946.0,365
2006,1661,1.0,13.610265104155774,46.09724238648815,626.0,365
2006,1662,1.0,13.587402536739988,46.03975486674379,86.0,365
2006,1663,1.0,13.541575512787007,46.01366217222929,241.0,365
2006,1664,1.0,13.747593464231093,45.88750458990655,75.0,365
2006,1665,1.0,13.737631451027656,45.93200697417904,85.0,365
2006,1668,1.0,13.580971066872284,45.85239264394507,165.0,365
2006,1669,2.0,13.84390506261774,45.75495966282086,320.0,365
2006,1670,1.0,13.931943623360768,45.60424809119573,484.0,365
2006,1672,1.0,13.607162135106323,45.49391548534868,2.0,365
2006,1673,1.0,13.919531584369787,45.47647884906966,208.0,365
2006,1674,1.0,13.960065510613374,45.46741490250624,504.0,365
2006,1675,1.0,14.146923624053226,45.52411245031979,596.0,365
2006,1677,1.0,14.059218298478534,45.75694107457749,577.0,365
2006,1678,1.0,14.058448493052554,45.86549651655079,796.0,365
2006,1681,1.0,14.202973646865557,45.907750264187776,485.0,365
2006,1683,1.0,14.353362113174965,45.8914847480133,716.0,275
2006,1686,3.0,14.509375190227221,45.77306180809165,720.0,365
2006,1688,1.0,14.468666316990344,45.68869346840843,579.0,365
2006,1689,1.0,14.59269745365613,45.70376007631573,827.0,365
2006,1690,1.0,14.638216244516997,45.76294951764808,542.0,365
2006,1691,1.0,14.738755283000344,45.71186048854906,484.0,365
2006,1694,2.0,14.85013473943114,45.64596690539311,467.0,365
2006,1695,1.0,14.67222932176799,45.60442152470741,761.0,365
2006,1698,1.0,14.201657436247327,46.06265612962714,642.0,365
2006,1700,2.0,14.37038990142767,46.09306666983828,662.0,365
2006,1702,1.0,14.274152078060643,45.96201263799913,326.0,365
2006,1704,1.0,14.577508845611325,45.922024722039495,309.0,365
2006,1707,1.0,15.120287139767736,46.020314456026064,509.0,365
2006,1710,1.0,14.782353429797022,46.1727932196336,394.0,365
2006,1712,1.0,14.936717592641628,46.18490196687356,767.0,365
2006,1713,1.0,15.234136149676544,46.15649472254153,221.0,365
2006,1714,1.0,15.436241925284495,46.05174274967708,565.0,365
2006,1715,1.0,15.490182414571978,46.15067670508813,623.0,365
2006,1716,1.0,15.59458413593827,46.15956402680208,254.0,365
2006,1717,1.0,15.590089427728188,46.0409630708057,245.0,365
2006,1718,1.0,15.584136526074936,45.99115532861155,282.0,365
2006,1720,1.0,15.455289436014398,45.8649725099124,150.0,365
2006,1721,1.0,15.378511106531706,45.90973061990165,186.0,365
2006,1723,1.0,15.393911811884122,45.967363489585495,416.0,365
2006,1724,1.0,15.299487950170612,46.01286522861439,179.0,365
2006,1726,2.0,15.204891602533344,45.95311438833394,397.0,365
2006,1728,1.0,14.832801888029683,45.85948683967881,243.0,365
2006,1729,1.0,14.96170758908977,45.80822202701824,206.0,365
2006,1730,1.0,15.275506212327967,45.87044523182753,218.0,365
2006,1733,1.0,15.178495478378869,45.649186777639926,241.0,365
2006,1734,1.0,15.24444040153864,45.65483154225909,191.0,365
2006,1735,2.0,15.146185815940289,45.55997841674866,157.0,365
2006,1736,1.0,15.31784252940329,45.51392372714022,232.0,365
2006,1737,1.0,15.165638053924008,45.45022354365891,365.0,365
2006,1738,1.0,15.054158647540174,45.50544883644125,375.0,365
2006,1745,1.0,14.948081645542322,46.26677469094796,760.0,365
2006,1747,1.0,14.93295380020365,46.36611459014404,794.0,365
2006,1748,1.0,14.807661477801108,46.296048188864575,430.0,365
2006,1749,1.0,14.745659998108495,46.35429314254289,513.0,365
2006,1750,1.0,14.69135241316184,46.420325282223445,639.0,365
2006,1753,1.0,14.819441781334742,46.49702676072265,942.0,365
2006,1754,1.0,14.912973031726962,46.59465175258539,940.0,365
2006,1756,1.0,15.00019012883599,46.47410702510313,1105.0,365
2006,1761,2.0,15.421597927413696,46.34321589623303,330.0,365
2006,1762,1.0,15.522519493022578,46.28798631539061,275.0,365
2006,1763,1.0,15.610719403791256,46.37285957845668,294.0,365
2006,1764,1.0,15.632926210749975,46.45405433498679,320.0,365
2006,1765,3.0,15.765953774078051,46.466995065701475,238.0,365
2006,1770,1.0,15.16783737679978,46.63189409496903,803.0,365
2006,1773,1.0,15.21077518948567,46.44380530392262,623.0,365
2006,1774,1.0,15.115855796464794,46.52255799102298,786.0,365
2006,1775,1.0,15.291460743282586,46.54149579705928,583.0,365
2006,1777,1.0,15.639822393139807,46.688267195210514,306.0,365
2006,1779,1.0,16.021801911385207,46.71937785522204,212.0,365
2006,1780,1.0,15.950284431270973,46.56817455836195,302.0,365
2006,1781,1.0,15.883181589518978,46.43012363521024,240.0,365
2006,1782,1.0,15.9937777327539,46.344694619757554,233.0,365
2006,1785,1.0,16.278882959960107,46.55071598586358,171.0,365
2006,1786,2.0,16.472355263560964,46.55686099481639,190.0,365
2006,1787,1.0,16.39362750550364,46.68273466378552,185.0,365
2006,1788,1.0,16.291245222161308,46.70093261223998,225.0,365
2006,1790,1.0,16.231848900652125,46.75026071564522,343.0,365
2006,1792,1.0,16.13761513536956,46.8461338736436,380.0,365
2006,1793,3.0,16.28776904204084,46.83650648071039,308.0,365
2006,1798,1.0,14.099811765237549,46.35954582138854,482.0,365
2006,1799,1.0,13.987163858895714,46.136747235078296,354.0,365
2006,1800,3.0,13.840891462669008,46.263547316142514,1535.0,365
2006,1801,1.0,14.59030146380765,46.03762959012168,284.0,365
2006,1803,1.0,14.868840941180224,45.94582311374917,330.0,365
2006,1804,1.0,14.707750493134915,45.85777082738634,440.0,365
2006,1805,1.0,14.975228523854634,45.87499962920121,245.0,365
2006,1808,2.0,13.94222798374623,46.29422847955141,596.0,365
2006,1809,1.0,14.981427715652291,45.90782508705488,302.0,365
2006,1811,1.0,15.76171114359719,46.3534437494842,319.0,365
2006,1812,1.0,14.588365102823465,45.96045795473497,315.0,359
2006,1814,1.0,13.626467693549772,45.82030291796476,274.0,365
2006,1816,1.0,15.506595748348367,45.82903370301915,687.0,365
2006,1817,1.0,15.97980492495857,46.50666475045058,253.0,365
2006,1818,1.0,15.81480976571487,46.7060540304622,230.0,365
2006,1890,3.0,13.84889966976708,46.378703770120936,2513.0,365
2006,1893,3.0,15.17726342749599,45.801815769654624,220.0,365
2006,1894,3.0,16.191280639432826,46.652077673714544,187.0,365
2006,1895,3.0,14.5123590017194,46.0655056158452,299.0,365
2006,1896,3.0,13.616035368367076,45.47534211213439,2.0,365
2006,1897,3.0,15.1112254237232,46.48956189022154,444.0,365
2006,1898,3.0,14.472758075844537,46.217451736676615,364.0,365
2006,1899,3.0,13.712896114352766,46.4970891735494,864.0,365
2006,1900,3.0,15.284895206228278,46.06777062387381,947.0,365
2006,1902,3.0,15.68178979397476,46.47966612734431,264.0,365
2006,1922,2.0,14.193174033768292,45.76605272819711,533.0,365
2006,1923,3.0,13.62398430101648,45.8955597030988,55.0,365
2006,2198,1.0,15.262559350766136,46.59890313574721,332.0,365
2006,2212,1.0,14.528223126894526,46.27188429673605,977.0,335
2006,2214,2.0,14.544895923534868,45.64518171445834,755.0,365
2006,2287,1.0,13.993118682247015,45.66384088562176,420.0,365
2006,2295,3.0,15.644990112778501,46.5394490560559,275.0,365
2006,2300,1.0,13.60962475590772,45.53165841617939,30.0,365
2006,2302,1.0,14.515362673576869,46.15830134914206,320.0,365
2006,2332,1.0,14.21110244698959,46.04015534772824,627.0,365
2006,2336,1.0,16.169660161932903,46.58136985343698,182.0,122
2006,2339,1.0,14.754532269662803,45.65172393872927,520.0,365
2006,2362,1.0,13.815262963167829,45.546058210538575,80.0,365
2006,3039,1.0,14.849893538760233,45.57199106834592,545.0,365
2006,381,1.0,14.36335706164509,45.79563996452506,569.0,365
2006,4794,1.0,13.634819323594723,46.07494470246707,160.0,365
2007,1612,1.0,14.68364944882471,46.264193852556446,887.0,364
2007,1613,1.0,14.58571082166106,46.32923880012097,615.0,364
2007,1614,3.0,14.533314377372152,46.297349481747936,1742.0,364
2007,1622,1.0,14.185041199366305,46.12033991323873,385.0,364
2007,1624,1.0,14.119811249828237,46.04813704355168,498.0,364
2007,1625,1.0,14.069171925176663,46.197357649622894,987.0,364
2007,1626,1.0,14.028055258865052,46.22188512308445,839.0,364
2007,1627,1.0,14.157601731754628,46.21445339540449,476.0,364
2007,1628,1.0,14.176813183348957,46.25334487658803,857.0,364
2007,1635,1.0,14.127395725151771,46.39993164361118,543.0,364
2007,1636,1.0,14.10117591250559,46.45716659816481,939.0,364
