ID,Name,Longitude,Latitude,Altitude,Type
1663,Vedrijan,13.541575512787007,46.01366217222929,241,1
1808,Bohinjska Češnjica,13.94222798374623,46.294228479551414,596,2
1805,Dobrnič,14.975228523854634,45.87499962920121,245,1
1626,Zgornja Sorica,14.028055258865052,46.22188512308445,839,1
1761,Slovenske Konjice,15.421597927413696,46.343215896233026,330,2
2870,Zgornje Jezersko,14.499045374867137,46.39163078162561,876,1
1817,Zagorci,15.97980492495857,46.50666475045058,253,1
1707,Kal pri Krmelju,15.120287139767735,46.020314456026064,509,1
3152,Lig Čolnica,13.619913172651293,46.095181702774504,488,1
1625,Davča,14.069171925176665,46.197357649622894,987,1
1729,Dvor,14.96170758908977,45.80822202701824,206,1
1747,Radegunda,14.93295380020365,46.36611459014404,794,1
3211,Arnovo selo,15.575662227278759,45.953317742014676,220,1
2332,Šentjošt nad Horjulom,14.21110244698959,46.04015534772824,627,1
2993,Knape,14.253925510879117,46.21845905578175,428,1
1749,Luče,14.745659998108495,46.35429314254289,513,1
3332,Črni Vrh (Polhov Gradec),14.27391204053515,46.083291535414915,738,1
2478,Polički Vrh,15.695777488457473,46.640445990877474,280,2
1718,Sromlje,15.584136526074937,45.99115532861155,282,1
1673,Movraž,13.919531584369787,45.47647884906966,208,1
3143,Žerjav,14.872686511016306,46.485842329550636,538,1
2859,Tržič,14.316324668258925,46.36590020205579,526,1
4719,Podlipje,15.161107035741479,46.63045540651363,805,1
1702,Vrhnika,14.274152078060645,45.96201263799913,326,1
1754,Strojna,14.912973031726962,46.59465175258539,940,1
2856,Metni Vrh,15.316434405548405,46.0382467972196,474,1
2470,Martinj Vrh,14.129642670520916,46.18251933228599,1028,1
1657,Otlica,13.924096937960645,45.9171666614962,826,1
2300,Strunjan,13.609624755907719,45.53165841617939,30,1
3316,Vogel,13.84065081073205,46.26388678125561,1530,2
3308,Maribor Vrbanski plato,15.626033442569447,46.56777793286567,279,2
3314,Mačkovci,16.161971403420427,46.78450525193633,274,1
